CPF,Matrícula,Nome,Centro_de_Custo,Valor
8301607,37788,A1,C19751,480
2880529,42950,A2,C78006,2261
1765770,59895,A3,D16400,382
3413183,67318,A4,C63529,448
2305859,45910,A5,C49036,2684
6211373,54880,A6,C39952,421
6322341,28159,A7,B89499,3552
6397062,72522,A8,B90811,1448
2930254,25890,A9,B78962,1420
3886389,24338,A10,B21652,74
4032629,71007,A11,B39244,1379
2929816,56319,A12,D36705,911
9231990,83741,A13,C60653,3218
3180697,52443,A14,C84757,1941
7634570,89353,A15,B75592,329
8791000,69901,A16,B65036,2557
6237209,49059,A17,D76182,1237
3627792,49504,A18,D46657,2612
3623365,64710,A19,C22903,1043
3153344,33431,A20,C27388,3086
2587435,40754,A21,D63484,606
1912308,52812,A22,D30399,1524
9231990,83741,A13,C60653,1239
3180697,52443,A14,C84757,2340
7634570,89353,A15,B75592,1780
8791000,69901,A16,B65036,362
6237209,49059,A17,D76182,2577
3627792,49504,A18,D46657,1616
3623365,64710,A19,C22903,1432
3153344,33431,A20,C27388,105
2587435,40754,A21,D63484,848
1912308,52812,A22,D30399,902
3413183,67318,A4,C63529,2934
2305859,45910,A5,C49036,2782
6211373,54880,A6,C39952,1136
3413183,67318,A4,C63529,650
2305859,45910,A5,C49036,3113
6211373,54880,A6,C39952,458
6211373,54880,A6,C39952,240
